root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;1;1;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0.4842
1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0.5576
1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;0;0;0.4226
1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0.484
1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0.748
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0.5026
1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0.4238
1;1;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0.5328
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0.6066
1;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;0;0.492
1;1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0.9974
1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0.7406
